S	I	R	q	free_birds
498160	1709	131	6	1703
497792	2044	164	14	2030
497296	2517	187	238	2279
496792	2974	234	366	2614
496225	3487	288	430	3069
495611	4045	344	599	3463
494915	4658	427	1014	3670
494192	5295	513	1819	3518
493594	5777	629	2653	3192
493003	6236	761	3445	2918
492431	6675	894	4166	2702
491880	7080	1040	4865	2492
491406	7412	1182	5469	2308
490908	7771	1321	6007	2220
490417	8081	1502	6507	2169
489957	8406	1637	6995	2094
489487	8684	1829	7477	2037
489061	8945	1994	7929	1975
488631	9177	2192	8358	1926
488236	9370	2394	8789	1859
487834	9568	2598	9206	1810
487444	9777	2779	9625	1745
487097	9940	2963	10008	1683
486752	10098	3150	10373	1626
486410	10219	3371	10753	1556
486070	10369	3561	11133	1484
485761	10504	3735	11437	1458
485422	10673	3905	11770	1434
485125	10732	4143	12073	1393
484800	10842	4358	12434	1331
484521	10881	4598	12738	1267
484260	10954	4786	13056	1184
483999	11008	4993	13345	1135
483739	11045	5216	13602	1118
483531	11053	5416	13826	1079
483306	11066	5628	14019	1087
483071	11100	5829	14215	1104
482815	11124	6061	14394	1160
482562	11163	6275	14564	1215
482289	11236	6475	14745	1286
482009	11293	6698	14942	1341
481708	11370	6922	15151	1409
481405	11454	7141	15381	1460
481102	11549	7349	15609	1509
480771	11683	7546	15826	1603
480422	11818	7760	16058	1688
480106	11918	7976	16310	1712
479771	12028	8201	16543	1771
479414	12129	8457	16829	1805
479071	12236	8693	17108	1839
478720	12343	8937	17486	1779
478387	12433	9180	17791	1772
478045	12548	9407	18132	1737
477687	12677	9636	18456	1739
477374	12726	9900	18839	1633
477042	12788	10170	19194	1573
476748	12825	10427	19510	1523
476454	12874	10672	19803	1502
476161	12904	10935	20137	1431
475890	12917	11193	20448	1357
475621	12946	11433	20742	1299
475357	12946	11697	21044	1232
475085	12911	12004	21286	1236
474830	12898	12272	21518	1238
474605	12844	12551	21793	1166
474341	12862	12797	22082	1116
474100	12869	13031	22358	1065
473900	12828	13272	22585	1011
473685	12787	13528	22808	982
473492	12702	13806	23034	926
473286	12634	14080	23240	904
473122	12542	14336	23461	825
472961	12461	14578	23671	767
472814	12362	14824	23905	670
472657	12274	15069	24058	657
472522	12165	15313	24233	612
472375	12064	15561	24420	561
472264	11940	15796	24569	515
472162	11817	16021	24729	448
472065	11678	16257	24856	411
471972	11526	16502	24985	364
471899	11371	16730	25079	339
471831	11225	16944	25177	303
471780	11034	17186	25257	263
471704	10885	17411	25348	242
471655	10737	17608	25423	212
471610	10552	17838	25469	208
471567	10356	18077	25532	183
471530	10176	18294	25608	139
471493	10004	18503	25648	135
