S	I	R	q	free_birds
498124	1747	129	7	1740
497729	2112	159	16	2096
497276	2514	210	98	2417
496720	3019	261	286	2734
496160	3499	341	366	3141
495560	4034	406	388	3666
494879	4635	486	587	4073
494208	5215	577	1470	3786
493509	5814	677	2373	3514
492856	6314	830	3164	3281
492236	6815	949	3921	3090
491611	7309	1080	4625	2956
491010	7761	1229	5240	2890
490377	8238	1385	5869	2833
489834	8610	1556	6465	2728
489275	8978	1747	7038	2639
488733	9326	1941	7595	2570
488190	9693	2117	8083	2570
487655	10032	2313	8612	2518
487144	10334	2522	9133	2449
486582	10684	2734	9563	2526
486093	10944	2963	10065	2469
485588	11209	3203	10530	2443
485099	11475	3426	10973	2447
484613	11723	3664	11404	2452
484103	11979	3918	11839	2489
483589	12218	4193	12257	2537
483113	12465	4422	12662	2559
482626	12692	4682	13090	2558
482136	12904	4960	13553	2525
481607	13170	5223	13985	2573
481113	13388	5499	14417	2576
480632	13623	5745	14849	2577
480123	13880	5997	15295	2594
479653	14062	6285	15728	2591
479150	14293	6557	16156	2625
478690	14466	6844	16645	2555
478201	14695	7104	17042	2595
477724	14875	7401	17485	2569
477250	15042	7708	17941	2533
476764	15203	8033	18347	2566
476291	15355	8354	18770	2555
475827	15506	8667	19192	2553
475406	15610	8984	19618	2499
474949	15749	9302	20055	2457
474493	15869	9638	20504	2423
474050	16010	9940	20909	2412
473648	16093	10259	21308	2369
473207	16189	10604	21692	2373
472746	16288	10966	22083	2398
472300	16422	11278	22464	2420
471879	16494	11627	22859	2387
471491	16539	11970	23234	2352
471075	16628	12297	23598	2350
470667	16730	12603	23978	2330
470245	16785	12970	24416	2261
469878	16840	13282	24823	2183
469519	16833	13648	25192	2121
469149	16849	14002	25581	2061
468804	16872	14324	25936	2013
468488	16880	14632	26293	1936
468131	16918	14951	26657	1893
467796	16898	15306	26974	1868
467491	16876	15633	27284	1829
467175	16867	15958	27565	1832
466856	16844	16300	27871	1798
466560	16831	16609	28181	1750
466238	16809	16953	28487	1724
465939	16773	17288	28786	1692
465662	16707	17631	29107	1613
465383	16673	17944	29404	1560
465137	16581	18282	29684	1488
464920	16480	18600	29960	1407
464687	16366	18947	30238	1336
464475	16270	19255	30463	1297
464276	16170	19554	30704	1240
464108	16018	19874	30939	1154
463936	15878	20186	31165	1082
463764	15721	20515	31391	1002
463604	15562	20834	31581	951
463453	15430	21117	31801	873
463317	15257	21426	32007	782
463197	15069	21734	32184	715
463089	14874	22037	32343	650
463005	14648	22347	32466	593
462924	14461	22615	32591	537
462861	14257	22882	32753	430
462810	14034	23156	32882	339
462777	13818	23405	32990	262
462750	13605	23645	33071	205
