S	I	R	q	free_birds
498124	1747	129	7	1740
497727	2114	159	12	2102
497269	2521	210	20	2501
496699	3040	261	26	3014
496099	3560	341	36	3526
495436	4157	407	40	4119
494660	4846	494	233	4616
493807	5611	582	442	5181
492904	6408	688	721	5706
492003	7194	803	1021	6202
490974	8079	947	1330	6801
489895	9022	1083	1699	7391
488759	9978	1263	2117	7952
487583	10939	1478	2542	8540
486366	11934	1700	2979	9138
485087	12961	1952	3463	9731
483746	14036	2218	3958	10391
482369	15132	2499	4501	11016
480827	16344	2829	5074	11735
479256	17605	3139	5652	12496
477616	18870	3514	6250	13262
475935	20164	3901	6894	14034
474153	21546	4301	7550	14887
472293	22994	4713	8288	15721
470364	24437	5199	9051	16555
468416	25913	5671	9838	17403
466359	27427	6214	10630	18277
464194	29025	6781	11493	19201
462021	30598	7381	12388	20076
459751	32288	7961	13311	21047
457467	33896	8637	14237	21959
455037	35649	9314	15227	22955
452534	37441	10025	16250	23970
450093	39055	10852	17287	24830
447491	40857	11652	18380	25815
444876	42613	12511	19471	26795
442144	44501	13355	20643	27820
439299	46432	14269	21838	28884
436463	48361	15176	23005	30006
433588	50236	16176	24230	31039
430590	52221	17189	25472	32188
427560	54216	18224	26798	33271
424425	56272	19303	28176	34361
421288	58284	20428	29560	35439
417924	60485	21591	30983	36679
414566	62617	22817	32434	37830
411237	64721	24042	33906	38937
407907	66785	25308	35419	40016
404450	68930	26620	36927	41179
400917	71063	28020	38558	42237
397299	73224	29477	40192	43353
393635	75430	30935	41830	44515
389981	77570	32449	43455	45648
386249	79797	33954	45148	46796
382484	81946	35570	46876	47912
378651	84112	37237	48656	48995
374826	86242	38932	50441	50025
370956	88347	40697	52237	51053
366885	90600	42515	54071	52249
362892	92736	44372	55891	53332
358896	94904	46200	57819	54367
354841	97155	48004	59707	55514
350740	99317	49943	61615	56596
346522	101544	51934	63638	57675
342343	103743	53914	65636	58733
337951	106056	55993	67635	59958
333723	108178	58099	69633	60970
329502	110263	60235	71662	61978
325265	112331	62404	73764	62878
321026	114307	64667	75847	63800
316773	116245	66982	78007	64603
312461	118269	69270	80137	65534
308162	120158	71680	82237	66405
303888	122088	74024	84367	67280
299515	124022	76463	86502	68182
295147	125852	79001	88668	69040
290856	127697	81447	90837	69826
286470	129654	83876	93040	70693
282075	131391	86534	95215	71467
277759	133079	89162	97453	72133
273277	134980	91743	99666	73034
268930	136498	94572	101837	73683
264591	138077	97332	104069	74308
260240	139737	100023	106300	74951
255980	141168	102852	108507	75485
251700	142691	105609	110800	75984
247370	144197	108433	113047	76567
243191	145451	111358	115287	76954
239025	146774	114201	117519	77413
234827	147987	117186	119719	77823
