S	I	R	q	free_birds
498124	1747	129	7	1740
497727	2114	159	12	2102
497269	2521	210	20	2501
496699	3040	261	26	3014
496099	3560	341	36	3526
495436	4157	407	165	3994
494683	4823	494	690	4137
493913	5505	582	1289	4230
493129	6186	685	1979	4240
492362	6835	803	2626	4271
491635	7415	950	3237	4296
490843	8067	1090	3872	4368
490024	8724	1252	4499	4481
489166	9401	1433	5145	4602
488279	10103	1618	5783	4761
487391	10804	1805	6387	4967
486428	11551	2021	6996	5232
485429	12299	2272	7656	5466
484416	13068	2516	8311	5704
483357	13860	2783	9014	5934
482275	14653	3072	9706	6189
481145	15477	3378	10441	6453
479981	16277	3742	11172	6750
478762	17145	4093	11889	7108
477499	18057	4444	12625	7490
476263	18932	4805	13402	7779
474940	19861	5199	14174	8164
473611	20797	5592	14990	8520
472221	21768	6011	15839	8876
470732	22815	6453	16686	9346
469278	23813	6909	17523	9771
467696	24936	7368	18427	10268
466142	25987	7871	19384	10655
464537	27063	8400	20326	11116
462869	28161	8970	21306	11569
461139	29355	9506	22322	12082
459401	30476	10123	23346	12520
457532	31751	10717	24358	13137
455577	33118	11305	25418	13777
453621	34398	11981	26536	14335
451633	35729	12638	27663	14919
449528	37130	13342	28869	15540
447400	38533	14067	30096	16125
445173	40015	14812	31365	16753
442975	41402	15623	32578	17388
440725	42885	16390	33827	18062
438372	44377	17251	35133	18752
435953	45931	18116	36475	19429
433558	47444	18998	37844	20068
431064	49041	19895	39258	20770
428483	50655	20862	40698	21500
425964	52158	21878	42149	22142
423331	53744	22925	43628	22834
420677	55369	23954	45116	23551
417923	57018	25059	46674	24271
415076	58724	26200	48289	25009
412282	60346	27372	49855	25739
409360	62049	28591	51465	26540
406493	63673	29834	53074	27266
403563	65336	31101	54668	28109
400552	67042	32406	56294	28923
397406	68881	33713	58003	29819
394219	70675	35106	59781	30587
391058	72415	36527	61544	31329
387878	74169	37953	63289	32138
384592	75953	39455	65040	33022
381327	77706	40967	66899	33738
378000	79461	42539	68787	34497
374707	81132	44161	70665	35201
371397	82808	45795	72567	35906
367852	84762	47386	74496	36814
364348	86499	49153	76402	37637
360887	88220	50893	78326	38400
357365	89963	52672	80236	39233
353793	91699	54508	82188	40038
350230	93501	56269	84219	40808
346626	95238	58136	86251	41528
342907	96985	60108	88301	42371
339225	98789	61986	90355	43180
335574	100476	63950	92391	43931
331825	102151	66024	94477	44680
328136	103757	68107	96556	45373
324439	105337	70224	98648	46038
320605	107084	72311	100737	46880
316724	108745	74531	102884	47662
312876	110386	76738	105047	48375
309054	112055	78891	107207	49110
305146	113671	81183	109347	49886
301270	115256	83474	111544	50537
297436	116792	85772	113739	51136
