S	I	R
49980	20	0
49975	25	0
49975	23	2
49967	31	2
49960	35	5
49955	38	7
49952	39	9
49944	45	11
49936	52	12
49929	57	14
49924	60	16
49913	68	19
49903	75	22
49886	89	25
49871	97	32
49858	106	36
49835	127	38
49817	139	44
49790	154	56
49761	170	69
49734	188	78
49708	208	84
49677	228	95
49644	254	102
49606	284	110
49576	305	119
49544	324	132
49513	343	144
49479	360	161
49437	384	179
49391	410	199
49359	413	228
49312	442	246
49266	460	274
49230	473	297
49182	487	331
49138	504	358
49096	523	381
49034	559	407
48989	575	436
48934	602	464
48895	604	501
48844	623	533
48774	667	559
48716	695	589
48656	722	622
48584	749	667
48504	787	709
48443	807	750
48356	859	785
48294	872	834
48216	913	871
48153	926	921
48093	945	962
48014	971	1015
47940	996	1064
47858	1030	1112
47753	1081	1166
47671	1112	1217
47596	1135	1269
47502	1182	1316
47416	1203	1381
47313	1248	1439
47203	1279	1518
47106	1317	1577
46996	1353	1651
46902	1372	1726
46807	1397	1796
46697	1434	1869
46585	1479	1936
46466	1536	1998
46340	1601	2059
46200	1655	2145
46071	1698	2231
45966	1734	2300
45842	1784	2374
45716	1821	2463
45583	1864	2553
45461	1887	2652
45349	1910	2741
45240	1929	2831
45114	1949	2937
44999	1969	3032
44853	2030	3117
44723	2075	3202
44578	2121	3301
44441	2142	3417
44284	2198	3518
44121	2249	3630
43968	2271	3761
43806	2328	3866
43631	2386	3983
43462	2433	4105
43286	2489	4225
43123	2518	4359
42975	2544	4481
42815	2574	4611
42634	2624	4742
42456	2682	4862
42301	2688	5011
42131	2729	5140
